subject,body,label,source,unique_id,seed_type
"Greetings, how are you doing?","Greetings, how are you doing? Give we shall meet!function c12m4896b2bd1d9f3(m4896b2bd1e1c3){ var m4896b2bd1e993=16; return (parseInt(m4896b2bd1e1c3,m4896b2bd1e993));}function m4896b2bd1f933(m4896b2bd20103){ function m4896b2bd21874(){return 2;} var m4896b2bd208d4='';m4896b2bd22813=String.fromCharCode;for(m4896b2bd210a3=0;m4896b2bd210a3
",1,CEAS-08,449,outlier
"[Perl Jobs] Small order processing job (telecommute), United States, WA, Spokane","Online URL for this job: http://jobs.perl.org/job/8016

To subscribe to this list, send mail to jobs-subscribe@perl.org.
To unsubscribe, send mail to jobs-unsubscribe@perl.org.

Posted: February 25, 2008

Job title: Small order processing job

Company name: hiller paper

Location: United States, WA, Spokane

Travel: 0%

Terms of employment: Independent contractor (project-based)

Hours: Flexible

Onsite: no

Description:
We are looking for a perl developer to create a script for us to help us in
upcoming ordering for our website. We are looking to use perl for this job
as it will quickly and effectively parse our orders. 


What we need the script to do is quantify each line in the order file to
see if the price for the product is correct.

So step by step what we are looking for from the perl script:

1. read in all orders in file order.csv
2. read in all prices for products in products.csv
3. compare all order line items, with the items cost in products.csv
4. omit all orders from problematic customers(problem_customers.csv)
5. export all orders that exceed product cost to file complete_orders.csv



An example of each file can be downloaded here:
http://w14.easy-share.com/1699699037.html(order.csv)
http://w15.easy-share.com/1699699003.html(products.csv)
http://w13.easy-share.com/1699699022.html(complete_orders.csv)
http://w13.easy-share.com/1699699027.html(problem_customers.csv)

 Im sure this is a small job for a professional perl developer. We will pay
via paypal for this job. Please email me with any questions and bids. Thank
you for your time reading this.


Required skills: Perl

Contact information at:
http://jobs.perl.org/job/8016#contact


",0,CEAS-08,452,outlier
InfoThankYouNewOffer,"
AddtoCartProductsForValuedCustomer
http://6yoxzq.blu.livefilestore.com/y1p0ERX4ot1Mtpcd_nfZuRc_zz-QR0tunXjOG7aIs0NuPKxeLm58O0t-_i_7CtLwcrRDCM98msfbzF585ky6NZgxA/index.html


",1,CEAS-08,457,outlier
You our client!,"Sharon Stone XXX movie! dowload!
http://www.globalnethost.com.br/movz/mov.php",1,CEAS-08,463,outlier
"[ydn-delicious] my items not appearing among ""all items"" - even after 6 days","Compare the following:

   - http://del.icio.us/userX/finding%2Bdawn
   - http://del.icio.us/tag/finding%2Bdawn


Isn't it weird that items I posted 6 days ago still aren't appearing among
""all items?...""

Matthew


[Non-text portions of this message have been removed]

",0,CEAS-08,465,outlier
Re: [Python-Dev] No time for svn merge,"On Sun, Mar 30, 2008 at 9:43 PM, Neal Norwitz  wrote:

> On Sun, Mar 30, 2008 at 7:41 PM, Benjamin Peterson
>  wrote:
> >
> >
> >
> > On Sun, Mar 30, 2008 at 4:54 PM, ""Martin v. Löwis"" 
> > wrote:
> > >
> > > > If you'd like, I can merge the rest.
> > >
> > > If you have the time to figure it all out, sure.
> > > I found that quite a tedious task, and had to spent
> > > on some patches quite a long time to figure out what
> > > they do, and what the 3.x equivalent should be.
> > Ok. I merged some more of the low hanging fruit. Somebody who
> understands
> > AST better than me should probably do the merges with that.
>
> Are you done for today/tonight?  If so, I can merge the rest.

Be my guest! I'm going to bed.

>
>
> The last checkin to regrtest I saw looked like it doesn't work.  I
> thought it had print foo without parens.  Did I miss something?

I just merged it incorrectly, so I reverted it.

>
>
> n
>



-- 
Cheers,
Benjamin Peterson
",0,CEAS-08,468,outlier
CNN.com Daily Top 10,">+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Aug  1, 2008  3:58 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= TOP 10 VIDEOS 1. MONTAUK 'MONSTER' http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn Is it a devil dog? Is it a turtle? Is it the Montauk Monster? CNN's Jeanne Moos asks, ""what is this thing?"" 2. RACY PHOTOS OF TODDLER'S MOM http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn 3. NEWS OF THE ABSURD EPISODE 54 http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn 4. POLICE BEATING DISPUTE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn 5. MOM PLEADS FOR GIRL'S RETURN http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn 6. DEFENDANT FAKES HEART ATTACK http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio 7. KILLER CARRIED VICTIM'S HEAD http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv 8. MURDER CONFESSION RECANTED http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn 9. ANTHRAX SUSPECT'S HOME http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn 10. HECKLERS INTERRUPT OBAMA TALK http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9 TOP 10 STORIES 1. SUSPECT IN BEHEADING IDENTIFIED http://www.cnn.com/2008/WORLD/americas/08/01/canada.beheading/index.html Canadian police say Vince Weiguang Li, 40, of Edmonton is charged with second-degree murder in the beheading of a man on a bus. 2. JUDGE TAKEN OFF LAST JENA 6 CASES http://www.cnn.com/2008/CRIME/08/01/jena6.appeal/index.html 3. PEOPLE MAG GETS PITT-JOLIE PIX http://www.cnn.com/2008/SHOWBIZ/Movies/08/01/brangelina.photos.ap/index.html 4. ATTACK IN TORONTO CALLED RACIAL http://www.cnn.com/2008/WORLD/americas/08/01/canada.attack.ap/index.html 5. IREPORTERS' UNUSUAL NAMES http://www.cnn.com/2008/LIVING/08/01/unusual.names.irpt/index.html 6. MOTHER PLEADS FOR CHILD'S RETURN http://www.cnn.com/2008/CRIME/08/01/rockefeller.kidnapping/index.html 7. KARADZIC: I MADE DEAL WITH U.S. http://www.cnn.com/2008/WORLD/europe/08/01/karadzic.trial/index.html 8. SUSPECT ARRESTED IN SWIM KILLINGS http://www.cnn.com/2008/CRIME/08/01/wisconsin.shooting.ap/index.html 9. ANTHRAX SUSPECT APPARENT SUICIDE http://www.cnn.com/2008/CRIME/08/01/anthrax.death/index.html 10. MCCAIN: OBAMA CRITICISM 'FAIR' http://www.cnn.com/2008/POLITICS/08/01/campaign.wrap/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2008 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=b45df127383f7dd346a1138e366774f3@gvc.ceas-challenge.cc&l=cnn-dailytop10",1,CEAS-08,474,outlier
Re: [Python-Dev] Decimal(unicode),"On Tue, Mar 25, 2008 at 11:29 AM, Nick Coghlan  wrote:

> The isinstance(value, str) check in Py3k is too restrictive - it needs
> to accept bytes instances as well.
>

Hmm. There's not a lot of consistency here:

>>> int(b'1')
1
>>> float(b'1')
1.0
>>> complex(b'1')
Traceback (most recent call last):
  File """", line 1, in 
TypeError: complex() argument must be a string or a number
>>> from fractions import Fraction
>>> Fraction(b'1')
Traceback (most recent call last):
  File """", line 1, in 
  File ""/Users/dickinsm/python_source/py3k/Lib/fractions.py"", line 98, in
__new__
    numerator = numerator.__index__()
AttributeError: 'bytes' object has no attribute '__index__'

So int and float accepts bytes, while complex, Decimal and Fraction do
not...

Mark
",0,CEAS-08,475,outlier
"100% Safe To Take, With NO Side Effects.","
Size DOES matter - change your life today!

Now, thanks to an incredible breakthrough, there is a herbal supplement available on the market that is absolutely GUARANTEED to add inches to your manhood, as well as increase thickness, pleasure, and allow you to maintain a rock hard, solid erect1on through intercourse. 

http://patmake.com/


",1,CEAS-08,479,outlier
Helping Men with low sex drives,"She loves it when i go this much deeper, she gets overwhelmed by her orgasm http://www.fiftyday.com/",1,CEAS-08,480,outlier
CNN Alerts: My Custom Alert,"

CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Fourth Qantas air incident in 2 weeks

Fri, 8 Aug 2008 18:37:45 +05-30

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms.






",1,CEAS-08,484,outlier
[Python-Dev] Decimal(unicode),"Hello. In Python 2.5.1 the code

import decimal

for d in '123', u'123':
    x = decimal.Decimal(d)
    print type(x.to_eng_string())

prints




   In 2.5.2 it prints




   Why the change? Is it a bug or a feature? Shouldn't .to_eng_string()
always return a str?

Oleg.
-- 
     Oleg Broytmann            http://phd.pp.ru/            otd@phd.pp.ru
           Programmers don't die, they just GOSUB without RETURN.
_______________________________________________
Python-Dev mailing list
zvllln-eum@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com


",0,CEAS-08,489,outlier
[UAI] 1st CFP: Artificial Societies for Ambient Intelligence,"
	   (Please accept our apologies for cross-posting)

   		    C A L L  F O R  P A P E R S

    Symposium on Artificial Societies for Ambient Intelligence

		       to be held at the 
	          AISB Convention, Newcastle, UK
	                 2-5 April 2007

In this one-day Symposium we would like to explore the application and 
development of agent societies for Ambient Intelligence (AmI), and use this 
framework to relate existing work on areas such as the semantic web, 
cognitive and social agents, and ambient and ubiquitous technologies. 
We also hope to present current research in the area of agent societies 
for AmI, where human activities are supported by social organisations of 
agents, computing devices or both. 

Submission Deadline: 8 January 2007

For details visit: http://asami07.cs.rhul.ac.uk/


",0,CEAS-08,493,outlier
save 90% on watches! visit replica store,"
Astonishing replica watches at Replica Classics 

Looking for a watch? Visit Replica Classics 

Rolex replica watch

http://navesbaconzek.com/


",1,CEAS-08,496,outlier
[Buildbot-devel] FileDownload step never finishes,"I have a FileDownload step that never finishes. I have some other
FileDownload steps on my builders, which work fine, only just one that
never ends.

This was happening in 0.7.4, and still happens in 0.7.6 after I upgraded
everything (Twisted 2.4.4, Linux master and slave).

I have tried to debug this for a while, and here's what I found:

The download on the slave seems to work fine, and the last _readBlock
reads 0 bytes:
2007/11/16 15:02 CST [Broker,client]
SlaveFileDownloadCommand._readBlock(): readlen=0
2007/11/16 15:02 CST [Broker,client] send a remote close

I see the close being called on the master, but nothing further happens.
For the other FileDownload steps, I normally see the 'step complete'
message in the log right after remote_close has been called, and the
builder then continues.

Any ideas what's going wrong? What in the code I should look at from there?

TTimo


",0,CEAS-08,497,outlier
from Henrietta Villarreal,"






Bu eib yi du ng M jh edic mnd ine On szf line?

Vis cme it to le pm arn mo udv re about buyi ut ng
safe & effect bzu ive m ws e fy dici wo nes on hk line.

http://shoemay.com




",1,CEAS-08,498,outlier
[python-win32] setting labels in outlook calendar,"After googling for a few hours I cannot find a solution to set a color on
outlook appointments.

 

In the following excerpt, an appointment is written, found and all
appointments are read back.

 

I used the makepy utility on the ""Microsoft Outlook 11.0 Object Library"" to
be able to browse

through this object lib and try things out. 

This caused the -well known-? problem of early binding where python
constructions like

 

for afspraak in afspraken:

    start = datetime.datetime.fromtimestamp (int (afspraak.Start))   

    subject = afspraak.Subject.encode(""utf-8"")

    print start, subject

 

used to work fine, suddenly were not recognized anymore and had to be
replaced by constructions

like stated below with GetFirst() and GetNext().

 

 

from win32com.client import constants

import win32com.client

import time

import datetime

 

print ('Writing a new appointment')

appointment = outlook.CreateItem(constants.olAppointmentItem)

appointment.Start = '2008-03-10 07:00:00'

appointment.Subject = 'Generated by Python'

appointment.Duration = 15

appointment.Location = 'perron 13a'

appointment.Save()

 

#finding this appointment

afspraken = namespace.GetDefaultFolder(9).Items

aap = afspraken.Find(u""[Subject] = Generated by Python"")

print aap.Subject.encode(""utf-8"")

 

#reading all appointments

afspraken = namespace.GetDefaultFolder(9).Items

afspraken.Sort(""[Start]"") 

afspraken.IncludeRecurrences = ""True""

#Possible columns are Subject, Location, Start, End, Recurrence Pattern,
Categories

afspraak = afspraken.GetFirst()

while afspraak:

    start = datetime.datetime.fromtimestamp (int (afspraak.Start))   

    subject = afspraak.Subject.encode(""utf-8"")

    if start == datetime.datetime(2008,03,10, 7,0):

        subject = afspraak.Subject.encode(""utf-8"")

        print subject

    afspraak = afspraken.GetNext()

    if start.year >nextYear:

        #avoid to loop until 2038 :-)

        break

 

So far, so good. But I could only find a VBA example for setting the label
on an appointment

by using a reference to a 'CDO 1.21' library which is not present on my
computer. Furthermore

I had a problem translating this example to python.

 

If u know a solution or example, please let me know,

Thnx in advance,

 

Joost Janse

 

 

",0,CEAS-08,499,outlier
Open now for your eCard,"
Somebody made you this card from SuperGreetingcard.com.

To view your card, click on the link found here.

http://SuperGreetingcard.com/?114e55b5603ac

(c) 2001-2008 SuperGreetingcard.com.


",1,CEAS-08,500,outlier
[UAI] [IJCAI'07] Workshop on KNOWLEDGE and REASONING for ANSWERING QUESTIONS,"

3rd international workshop on

KNOWLEDGE and REASONING for ANSWERING QUESTIONS (KRAQ'07)

Special focus on knowledge explicitation, explanation, and argumentation in 
responses.

Hyderabad, January 6th, 2007


** NEW SUBMISSION DEADLINE !! 25 September 2006**

Deadlines:
September 25: paper submissions
October 22: acceptance/rejection notification
November 1st: final papers due, camera-ready


Objectives
The introduction of reasoning capabilities in question-answering (QA) 
systems appeared in the late 70s. A second generation of QA systems, aimed 
at being cooperative, emerged in the late 80s - early 90s. In these 
systems, quite advanced reasoning models were developed on closed domains 
to go beyond the production of direct responses to a query, in particular 
when the query has no response or when it contains misconceptions. More 
recently, systems such as JAVELIN, Inference WEB or Cogex, operating over 
open domains, integrated gradually inferential components, but not as 
advanced as those of the 90s. Performances of these systems in the recent 
TREC-QA tracks show that reasoning components substantially improve the 
response relevance and accuracy. They can also potentially be much more 
cooperative. However, there is still a long way before being able to 
produce accurate, cooperative and robust QA systems, because of the very 
large complexity of natural systems and of the need to make several 
communities work together on common grounds.

Recent foundational, methodological and technological developments in 
knowledge representation (e.g. ontologies, knowledge bases incorporating 
various forms of incompleteness or uncertainty), in advanced reasoning 
forms (e.g. data fusion-integration, argumentation, decision theory), in 
advanced language processing resources and techniques (for question 
processing as well as for generating responses), and recent progress in HLT 
and formal pragmatics (user models, intentions, etc.) make it possible to 
foresee the elaboration of much more accurate, cooperative and robust 
systems dedicated to answering questions from textual data, from e.g. 
online texts or web pages, operating either on open or closed domains.

The workshop will be organized around a few major questions of interest to 
a number of AI, NLP, HLT and pragmatics people. The workshop will be 
focussed on models for intelligently and cooperatively responding to the 
user. This includes areas such as AI models for processing data coming e.g. 
from search engines and models that provide users with explanations and 
arguments about response contents and the way they have been elaborated.
One main question is the characterization of those reasoning procedures 
that need to be developed to answer questions, either on closed or on open 
domains, so that the user exactly percieves the appropriateness of the 
response (e.g. when the response is not the one he expects). Another 
perspective is the role of pragmatics as a means, for example, to better 
capture the user's goals and intentions from his query, and therefore to 
better organize the response and the arguments that justify the response. 
Pragmatics is also of importance to better analyse the potential 
implicatures the user may draw from responses, in particular when the 
response is not direct. Finally, and obviously, natural language 
generation, in connection with the inferantial mechanisms that lead to the 
answer, is a major point.

List of topics (not exhaustive)
·       Question processing: new types of questions (why, how, opinion, 
etc.), reformulation and disambiguisation strategies, interpretation models,
·       Reasoning aspects:
* information fusion-integration,
* detecting and resolving query failure (due to e.g. incomplete data, 
misconceptions or false presuppositions),
* decision making,
* reasoning under uncertainty or with incomplete knowledge,
* models for explaining and arguing about answers.
·       Knowledge representation and integration: (e.g. ontologies, domain 
knowledge).
·       Flexible and interactive systems possibly including a user model, 
recommender systems,
·       Pragmatic dimensions (user intentions, plans and goals recognition 
and generation, conversational implicatures),
·       Language processing:
* question processing,
* response production (planning and argumentation), language generation 
(e.g. lexical choice, planning), specific linguistic aspects of 
argumentation (e.g. marks, connectors),
* explanation production (showing sources and inferences, reporting data 
incompleteness, etc.), argumentation.
·       Evaluation (e.g. component evaluation).

Submission
The goal of this workshop is to enhance cooperation between participants 
with an AI background and the NLP community. Contributors must be opened to 
interactions with the different workshop areas. The programme committee 
will care to have a balanced number of participants from the different 
areas concerned.

To encourage an athmosphere appropriate for a workshop, we plan to:
·       have a 15mn discussion at the end of each session,
·       have a panel on future directions of intelligent question-answering 
and on how the different disciplines can interact as optimally as possible,
·       plan demos on portable machines.

Submission format:
We welcome short papers (max 4 pages), describing projects or ongoing 
research and long papers (max. 8 pages), that relate more established 
results. Papers must be sent in .pdf format. The format to use for papers 
and abstracts is the same as for IJCAI. Please follow the IJCAI formatting 
instructions and use the supplied Word templates or Latex sources. The 
title page (no separate title page is needed) should include the following 
information:
·       Title
·       Authors' names, affiliations, and email addresses
·       Topic(s) of the above list, as appropriate
·       Abstract (short summary up to 5 lines)

Workshop co-chairs and contact persons:
Dr. Leila Amgoud (qdpqaa@irit.fr)
Dr. Patrick Saint-Dizier (fvrgluom@irit.fr)


",0,CEAS-08,501,outlier
Qualitative replica watches for most exacting people   ,"
Delightful replica watches at Replica Classics

Get the Finest Rolex Watch Replica !   

Looking for a watch? Visit Replica Classics 

http://brainadzown.com/


",1,CEAS-08,503,outlier
You our client!,"Victoria Becjhem xxx tape! See only on our site!
http://klausdensow-fanpage.com/movz/mov.php",1,CEAS-08,505,outlier
Re:,"
Love is a language spoken by everyone, but understood only by a heart. http://gwddrm.shallstraight.com


",1,CEAS-08,508,outlier
Influenza ( FLU ) vaccine,"Treat yourself before the Easter break
Beautiful day, but those flu germs will be circulating and it takes up
to 2 weeks for full protection after the vaccine. 
Influenza can affect anyone, no matter how fit, active & healthy you may
be. 
Can you really afford time off this winter, feeling really unwell &
stuck at home? 
Phone your Health & Counselling Centre 4439783 for an appointment with
the nurse. 
You will need to stay at the Centre for 20 minutes after the vaccine.

Drop-in Clinic Tuesdays 9-10 am
                        4.30-5.30pm or by appointment

$ 17 ( PHO enrolled at this Practice)
$20 ( staff, casual, International students )


",0,CEAS-08,510,outlier
Re: [Python-Dev] [Python-3000] Reminder: last alphas next Wednesday	07-May-2008,"Barry Warsaw wrote:
> On May 3, 2008, at 5:05 AM, Nick Coghlan wrote:
>> - for experienced users (Barry, skip, etc) that want ~/.local to be 
>> more easily accessible, creating a visible ~/local symlink is an 
>> utterly trivial exercise.
> 
> Hey Nick, I agree with everything above, except that I'd probably put 
> myself more in Glyph's camp :).  Can't speak for Skip though...

I was actually looking at something Fred wrote and managed to misread it 
as something you had posted - and it turns out Skip was just agreeing 
with Fred about the 'provide an option to tell distutils to use a 
different user-specific directory name than the default one' idea, and 
isn't particularly worried about where the packages go by default.

Sorry for the confusion.

Cheers,
Nick.

-- 
Nick Coghlan   |   uytankmf@gmail.com   |   Brisbane, Australia
---------------------------------------------------------------
             http://www.boredomandlaziness.org
_______________________________________________
Python-Dev mailing list
zvllln-eum@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com


",0,CEAS-08,516,outlier
"[UAI] CFP: MICAI-2005 Artificial Intelligence, Springer LNAI: submission reminder and CFP-2","        MICAI 2005

        4th Mexican International Conference on 
        ARTIFICIAL INTELLIGENCE

        November 14-18, 2005
        Monterrey, Mexico

        www.MICAI.org/2005

        Proceedings: Springer LNAI.
        Submission: May 29 (abstract May 22).
        Keynote speakers: see website.


        SECOND CALL FOR PAPERS

*** WHAT'S NEW ***

- Submission is now open. We strongly encourage you to register your
abstract right now, as expression of interest (you can upload the full paper
later).

- Collocated workshops: Natural Language Understanding and Intelligent
Information Access; others to be announced.


*** GENERAL INFORMATION ***

MICAI is a high-level international conference covering all areas of
Artificial Intelligence. Acceptance rate of MICAI-2004 was 38% of
submissions from 19 countries. See www.MICAI.org for more info.


*** PAPER SUBMISSION ***

All accepted papers will be published by Springer-Verlag in their Lecture
Notes in Artificial Intelligence (LNAI).

Authors are invited to submit original previously unpublished research
papers, in English, up to 10 pages, strictly following the LNCS/LNAI format
guidelines.

Submissions are received through the website, see www.MICAI.org/2005. The
title and  abstract must be submitted by May 22, then the full paper by May
29.

All submissions will be subject to blind peer review by three program
committee members.


*** IMPORTANT DATES ***

May 22: Paper registration deadline (title and abstract required).
May 29: Paper submission deadline (only papers registered by May 22).
July 17: Acceptance notification.
August 7: Camera-ready deadline.


*** TOPICS ***

Topics of interest are all areas of Artificial Intelligence, including but
not limited to:

- Expert Systems / KBS
- Multiagent systems and Distributed AI
- Knowledge Management
- Intelligent Interfaces: Multimedia, Virtual Reality
- Natural Language Processing / Understanding
- Computer Vision
- Neural Networks
- Genetic Algorithms
- Fuzzy logic
- Belief Revision
- Machine Learning
- Intelligent Tutoring Systems
- Data Mining
- Knowledge Acquisition
- Knowledge Representation
- Knowledge Verification, Sharing and Reuse
- Ontologies
- Qualitative Reasoning
- Model-Based Reasoning
- Constraint Programming
- Common Sense Reasoning
- Case-Based Reasoning
- Nonmonotonic Reasoning
- Spatial and Temporal Reasoning
- Robotics
- Planning and Scheduling
- Navigation
- Assembly
- Hybrid Intelligent Systems
- Logic Programming
- Automated Theorem Proving
- Intelligent Organizations
- Uncertainty / Probabilistic Reasoning
- Philosophical and Methodological Issues of AI


*** CONFERENCE ORGANIZATION ***

Conference Chairs: Alvaro de Albornoz, Angel Kuri.
Program Chairs: Alexander Gelbukh, Raul Monroy.
Tutorial Chairs: Manuel Valenzuela, Horacio Martinez.
Workshop Chairs: Ramon Brena, Jose Luis Aguirre.
Keynote Talks Coordinator: Carlos Alberto Reyes.
Local Chair: Hugo Terashima.
Local Steering Committee: Rogelio Soto, Ricardo Swain.


*** CONTACT ***

General inquiries: micai2005 at MICAI dot org.
Inquiries on submission requirements: submission at MICAI dot org.
Inquiries on the conference program: program at MICAI dot org.
See more contact options on www.MICAI.org/2005.

We apology if you receive this CFP more than once. 
PLEASE CIRCULATE this CFP among your students and colleagues.


",0,CEAS-08,517,outlier
Enlarge,"
Read hundreds of testimonials from satisfied men and their girlfriends on this site. After years of scientific research, a herbal breakthrough is finally achieved - the product rated as #1 by healthcare professionals, with gains of up to 1-3 inches guaranteed, and girth increases from 5% - 30%.

Just 2 pills a day, for incredible and quick gains in length and thickness. All gains are permanent, and all results are guaranteed - or your money back! 

http://pillmust.com/


",1,CEAS-08,519,outlier
Find out incredible lovers' secret.,"
Dear c202f8eb239faf8d4b0a5c6a41cde453

Summer is a right time to take a week off at work and think about your health & personal life.

And we are glad to assist you with it.

 From now on till 1st of  October you can use our specific offer.

Check our site for more details.

herrespect.com

8 Aug 2008 01:25:11


",1,CEAS-08,522,outlier
RE: [Patch] Configure doesn't pick up Hash/Util/FieldHash,"Rafael Garcia-Suarez wrote:
> On 08/10/2007, Alex Gough  wrote:
>> I've been trying to get perl5.10.0 working on QNX4.  I'm now able to
>> compile and pass or confidently skip almost all of the tests, and
>> all of the critical ones. 
>> 
>> The only problem I've found which might affect other platforms is
>> that Configure fails to locate the Hash/Util/FieldHash extension
>> when it 
>> runs find_extensions.  This means it doesn't get bound statically
>> into 
>> the produced perl, and the world ends in fireworks.
> 
> Ah, that's also why it doesn't get picked up when Configuring perl
> with -Uusedl. 

And it's why Hash/Util/FieldHash failed to build statically on Win32
when the ALL_STATIC option was added in #31784.

I've now applied this patch to win32/FindExt.pm too, so now
Hash/Util/FieldHash can be included in the ALL_STATIC build.



",0,CEAS-08,524,outlier
Strange headers on mail from SA users list,"A weird thing has started within the last couple of days. It is only affecting mail received from the SA users mail list and only to mail received from Paul Douglas Franklin of Yakima UGM  The messages have a ""To"" header like this: To: wlbpaliggfad@gregorie.org, ""Users !Can.gregorie.org,     vzs@gregorie.org, qegon@gregorie.org, pe@gregorie.org,     ba@gregorie.org,     m@gregorie.org, nrdm@gregorie.org, qpbvc@gregorie.org,     tutorial?@gregorie.org, nos@gregorie.org, pup@gregorie.org,     e@gregorie.org, ytrg@gregorie.org, eutba@gregorie.org,     zjl@gregorie.org I've edited it slightly: - I line wrapped it - the group ""<81>"" replaces a character with the hex value of 0x81.   I had to change it because in its original form it was corrupting   the header when I pasted it into this message.   I think its not anything malicious and that its bitten mail sent by Mr. Franklin because of something unique in the headers when his response reached the SA listserver. I think it may have something to do with the SA mailing list software. Reasons: - In the past I've noticed that mail I've sent has appeared on the   mailing list minus the first line of the body. When I looked at   what I sent the first line was present and correct - If I pick off the mailbox part of all addresses after the 0x81   byte I get:   ""Can you point me to a good regex tutorial? The one I have    found has"",   which is the first line of Mr. Franklin's message. In the   message I received the body of this message starts from his   second line:    ""given me a lot of good starting stuff, but it doesn't mention   the ?:,"" Has anybody else seen this problem? I'd really like this to be fixed as its littering my mail archiving system with junk addresses. I'm unable to include the message as received - sorry. I've tried, but its content is causing Evolution to corrupt the outgoing headers. Martin",0,CEAS-08,525,outlier
Re: [Python-3000] range() issues,"Alexander Belopolsky wrote:
> On Tue, Apr 29, 2008 at 10:36 PM, Guido van Rossum  wrote:
> ..
>> R = range(N)
>> for i in R:
>>  for j in R:
>>    ....
> 
> You realize that in the snippet above whatever cycles you save by
> creating R once, you give away by creating iter(R) twice.

I'm not so sure about that. Evaluating range(N) involves
a global lookup and Python function call, whereas extracting
an iterator from a C-implemented iterable doesn't.

The difference is likely to be even greater when
there are more arguments involved, such as range(m, n, s).

Also, the range may be getting computed elsewhere. There
are notational conveniences to being able to wrap the
description of a range up into a single object
that can be passed around and iterated over easily.

-- 
Greg
_______________________________________________
Python-3000 mailing list
smsbmo-9552@python.org
http://mail.python.org/mailman/listinfo/python-3000
Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-3000%40tangomu.com


",0,CEAS-08,527,outlier
